Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:645IXl7jWVyMVKYCSJWq2N,DGAF (feat. Shiloh Dynasty),DGAF (feat. Shiloh Dynasty),Noah Slee;Shiloh Dynasty,10/14/2016,197482,0,TRUE,,2020-05-01T02:33:44Z,indie soul,WM Australia,0.8,0.548,9,-6.721,0,0.0555,0.242,0.000242,0.0741,0.264,134.103,4
spotify:track:5IDJblB7FvYCYtfQ6nRqIs,East of the Sun and West of the Moon,I'm Glad There Is You,Gustav Scheringer Duo,12/6/2019,362000,32,FALSE,,2020-04-29T18:09:26Z,jazz,Gustav Scheringer Duo,0.549,0.461,4,-9.596,0,0.0329,0.842,0.0507,0.0909,0.401,77.94,4
spotify:track:63d2bgv1B4yWFmhCs2TovX,Suzie Thundertussy,Suzie Thundertussy,Junie Morrison,1/21/2016,222423,36,FALSE,,2020-04-29T16:30:07Z,,JunieFunk Recordings,0.462,0.714,5,-11.066,1,0.12,0.164,0.00000461,0.414,0.714,96.985,4
spotify:track:34qsGHH3KTSn3DMTBwbH9y,Delphia,Red Clay,Freddie Hubbard,1970,442086,29,FALSE,,2020-04-29T16:28:14Z,"hard bop,jazz,bebop,jazz ballads,cool jazz,jazz funk",Epic/Legacy,0.399,0.234,5,-15.567,1,0.0515,0.94,0.814,0.0984,0.188,82.326,4
spotify:track:5pUgyV2GSUH1Qsi1e3tfcf,"Royal ""T""",Royal 'T',Tito Puente,1/1/1993,225000,1,FALSE,,2020-04-26T19:27:57Z,"latin jazz,afro-cuban jazz,cha cha cha,mambo,salsa,son cubano",Concord Picante,0.591,0.448,2,-14.276,1,0.0359,0.364,0.28,0.0796,0.902,94.499,4
spotify:track:2Pz7XSdSFo48qpfAosS0DX,I Don't Wanna Be Kissed (By Anyone But You) - overdubbed solo 1,The Complete Columbia Studio Recordings,Miles Davis;Gil Evans,8/1/1996,63960,0,FALSE,,2020-04-26T08:15:30Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,jazz ballads,free jazz,big band",Columbia/Legacy,0.508,0.0442,5,-27.357,1,0.0638,0.875,0.00127,0.302,0.379,79.567,4
spotify:track:0YhaRPBhAVHZcdileuPtJM,Spain,Light As A Feather (Deluxe Edition),Chick Corea;Return To Forever,1/1/1998,589093,42,FALSE,,2020-04-26T04:41:46Z,"jazz fusion,jazz,latin jazz,free jazz,jazz funk",GRP,0.444,0.585,11,-11.189,0,0.0393,0.682,0.674,0.0938,0.425,136.443,4
spotify:track:3w4rherr0vFqtKhBDkg4h9,You Don't Know What Love Is,At The Deer Head Inn,Keith Jarrett;Paul Motian;Gary Peacock,4/1/1994,775266,13,FALSE,,2020-04-26T04:17:44Z,"jazz,jazz ballads,cool jazz,free jazz",ECM Records,0.403,0.114,5,-27.126,0,0.0362,0.86,0.927,0.947,0.157,116.294,4
spotify:track:3Yf7Es6k9IDUh5wUczd9r7,Fantasy,Doo-Bop,Miles Davis (With Easy Mo Bee),6/26/1992,278866,36,FALSE,,2020-04-26T03:57:56Z,,Warner Records,0.722,0.722,11,-11.631,0,0.0421,0.000041,0.489,0.0428,0.885,105.303,4
spotify:track:5U4mSL4nYpJmwsFhQHRXlg,Bill Evans,Fictionary,Lyle Mays,1993,289840,0,FALSE,,2020-04-26T03:45:52Z,"jazz fusion,jazz,ambient jazz",Warner Jazz,0.452,0.0803,0,-23.557,1,0.0374,0.75,0.491,0.12,0.134,135.266,4
spotify:track:07sdvYTv5jm4fSWksOWnHO,Bright Size Life - Live Version,Trio-Live,Pat Metheny Group,11/10/2000,258933,3,FALSE,,2020-04-26T03:18:03Z,"jazz fusion,jazz,smooth jazz",Warner Jazz,0.521,0.533,4,-17.63,0,0.0734,0.931,0.853,0.93,0.64,89.887,4
spotify:track:6kLp24Op7cOu8iQkU46sBv,I'm Confessin' (That I Love You),Solo Monk (Expanded Edition),Thelonious Monk,1964,157026,51,FALSE,,2020-04-24T17:27:35Z,"jazz,bebop,hard bop,cool jazz,free jazz",Columbia/Legacy,0.624,0.359,1,-9.457,1,0.0521,0.965,0.905,0.101,0.206,104.357,4
spotify:track:0sh3ksrBKS9MfrfJxuZR5c,Dayride,No Mystery,Return To Forever;Chick Corea,1/1/1975,205266,23,FALSE,,2020-04-23T03:59:18Z,"jazz fusion,jazz,jazz funk,latin jazz,free jazz",Polydor,0.45,0.94,10,-10.494,1,0.0599,0.0385,0.726,0.101,0.687,124.654,4
spotify:track:6evehXa14Rvbt355gFnMdH,Hora Decubitus,Mingus Mingus Mingus Mingus Mingus,Charles Mingus,1963,283160,29,FALSE,,2020-04-22T06:39:34Z,"jazz,hard bop,bebop,free jazz,cool jazz,jazz ballads",Impulse!,0.391,0.732,1,-7.777,1,0.0702,0.34,0.175,0.0983,0.752,116.675,4
spotify:track:5bBUDJUfGcG7eFy3Bf4fXv,untitled 08 | 09.06.2014.,untitled unmastered.,Kendrick Lamar,3/4/2016,235506,67,TRUE,,2020-04-21T19:16:55Z,"hip hop,west coast hip hop",Aftermath,0.85,0.524,11,-9.375,0,0.204,0.25,0.00000246,0.114,0.686,120.004,4
spotify:track:0bCz5DrXhSsOYCcw89jFtj,Resolve,7th October: Epilogue,Alfa Mist,10/7/2018,387918,25,FALSE,,2020-04-20T20:24:36Z,"nu jazz,jazz rap,indie jazz,jazz fusion,jazz",Sekito,0.505,0.57,2,-11.643,1,0.045,0.0436,0.809,0.108,0.183,141.735,4
spotify:track:71f05dp2O3JUaYEdNransM,Interplay,Interplay,Bill Evans,1962,490626,0,FALSE,,2020-04-19T06:41:38Z,"jazz,cool jazz,jazz ballads,bebop,hard bop",Original Jazz Classics,0.611,0.222,1,-16.566,1,0.0347,0.833,0.31,0.107,0.405,112.993,4
spotify:track:2AAkvWMvPnceMcODA3pqqU,Naima - Live (1961 Village Vanguard),The Complete 1961 Village Vanguard Recordings,John Coltrane Quartet,1/1/1997,460173,0,FALSE,,2020-04-19T06:14:23Z,"jazz,jazz ballads,cool jazz,hard bop,free jazz,bebop",Universal Classics & Jazz,0.413,0.242,3,-17.964,1,0.0328,0.763,0.26,0.649,0.269,98.898,3
spotify:track:0gCKwy3YmhKc9rzjYjTQKx,Giant Steps,The Very Best of John Coltrane,John Coltrane,1/1/2000,283439,38,FALSE,,2020-04-19T06:06:16Z,"jazz,hard bop,free jazz,bebop,jazz ballads,cool jazz",Rhino Atlantic,0.431,0.491,0,-10.746,0,0.0562,0.441,0.000458,0.134,0.577,148.243,4
spotify:track:2XojC04F6WFbbxPf55rlyK,Ain't That Funkin' Kinda Hard on You?,first ya gotta Shake the Gate,Funkadelic,11/25/2014,330024,13,TRUE,,2020-04-19T02:26:01Z,"funk,funk rock,psychedelic rock",CKunspyruhzy,0.509,0.775,9,-7.996,1,0.0467,0.00595,0.0000296,0.896,0.656,89.981,4
spotify:track:6Vr09ZJWZJbuHyuE2fbWt0,If I Didn't Love You,first ya gotta Shake the Gate,Funkadelic,11/25/2014,240540,8,FALSE,,2020-04-19T02:21:41Z,"funk,funk rock,psychedelic rock",CKunspyruhzy,0.797,0.162,2,-13.816,0,0.0793,0.911,0.0000314,0.106,0.675,108.861,4
spotify:track:6SgQIoLn8kpu8J4wfwGWy8,Ain't That Funkin' Kinda Hard on You? (feat. Kendrick Lamar & Ice Cube) - We Ain't Neva Gonna Stop Remix,Ain't That Funkin' Kinda Hard on You? (We Ain't Neva Gonna Stop Remix) [feat. Kendrick Lamar & Ice Cube],Funkadelic;Kendrick Lamar;Ice Cube,3/9/2016,309723,43,TRUE,,2020-04-18T05:08:45Z,"funk,funk rock,psychedelic rock,hip hop,west coast hip hop,old school hip hop,gangster rap,g-funk",Alliance / C Kunspyruhzy,0.635,0.874,4,-4.693,0,0.176,0.156,0,0.245,0.632,89.895,4
spotify:track:5TMVNGCCHS01ub7oOLzyFW,Doodlin' - Remastered 2004,Horace Silver And The Jazz Messengers,Horace Silver,1/1/2004,405653,30,FALSE,,2020-04-16T17:27:49Z,"hard bop,jazz,bebop,cool jazz,soul jazz,jazz ballads",Blue Note Records,0.662,0.491,6,-7.505,1,0.0637,0.759,0.091,0.101,0.627,122.324,4
spotify:track:0gITUZKrOzQy6O6NJdUlHm,Pent-Up House,The Talented Mr. Ripley - Music from The Motion Picture,Guy Barker;Pete King;Iain Dixon;Robin Aspland;Arnie Somogyi;Clark Tracey,8/13/1999,157733,0,FALSE,,2020-04-16T06:17:04Z,,Sony Classical,0.562,0.222,7,-13.002,1,0.082,0.285,0.744,0.0473,0.654,127.758,3
